feature,pearson,spearman,abs_pearson,abs_spearman,p_value,n_samples
funding_8h_change,-0.0113,0.0061,0.011339011678700326,0.006135480192648228,0.419483,17316
is_asian_session,0.0029,0.0035,0.002875302205217307,0.0034690471024893467,0.648058,17316
macd_cross,0.0043,0.0021,0.00427832609154304,0.0021484665260336,0.777409,17316
dow_cos,0.0165,0.0021,0.016478110293250223,0.002119236045091994,0.780359,17316
dow_sin,0.0081,0.002,0.00810427592168345,0.002036011967209614,0.788776,17316
is_eu_us_overlap,-0.0001,0.0018,9.038917467028116e-05,0.001832916604695371,0.809418,17316
day_of_week,-0.0166,-0.0012,0.0165581998805479,0.0012363081182972665,0.870775,17316
oi_delta,0.0002,-0.0011,0.000208111629751531,0.0010739694875523628,0.887622,17316
is_weekend,-0.0081,-0.001,0.008065461206076733,0.00097548826567587,0.897868,17316
lower_wick,-0.01,0.0002,0.009954417611069695,0.00016203353820187918,0.98299,17316
max_imbalance,,,,,,17316
funding_extreme_long,,,,,,17316
funding_extreme_short,,,,,,17316
liq_short_proxy,,,,,,17316
cascade_flag,,,,,,17316
cascade_4h,,,,,,17316
cascade_24h,,,,,,17316
